epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,6509.58,2.65135,3.2231,3.00006,0.5517,0.46001,0.48993,0.26044,3.36857,3.89623,3.45806,0.000389875,0.000389875,0.000389875
21,13340.3,2.66559,3.19254,3.01025,0.58073,0.46156,0.49806,0.26896,3.31143,3.72124,3.3885,0.0003775,0.0003775,0.0003775
22,20152.7,2.62361,3.0689,2.97835,0.58191,0.49182,0.51888,0.27865,3.38601,3.64826,3.4304,0.000365125,0.000365125,0.000365125
23,6034.68,2.42508,2.75889,2.84217,0.55073,0.47151,0.48183,0.26086,3.4149,3.96281,3.49669,0.00035275,0.00035275,0.00035275
24,12407.3,2.44117,2.73007,2.84866,0.59918,0.49545,0.51675,0.27692,3.31643,3.73486,3.42924,0.000340375,0.000340375,0.000340375
25,18532.7,2.40072,2.66052,2.831,0.57543,0.46965,0.47635,0.25622,3.46973,3.87113,3.56523,0.000328,0.000328,0.000328
26,24905.1,2.57207,2.85373,2.92261,0.63204,0.49472,0.53133,0.28491,3.37263,3.75775,3.45949,0.000315625,0.000315625,0.000315625
27,31465,2.55132,2.84796,2.91419,0.61781,0.47315,0.51783,0.28716,3.30985,3.76259,3.41987,0.00030325,0.00030325,0.00030325
28,37408.8,2.52016,2.78892,2.89487,0.63281,0.49139,0.52685,0.29018,3.29369,3.58111,3.43367,0.000290875,0.000290875,0.000290875
29,43385.9,2.49642,2.7211,2.87759,0.63015,0.49234,0.51961,0.28559,3.29459,3.74371,3.43271,0.0002785,0.0002785,0.0002785
30,49368.8,2.45329,2.65403,2.84467,0.67435,0.49726,0.55107,0.30043,3.26969,3.54887,3.39245,0.000266125,0.000266125,0.000266125
31,55406.3,2.43379,2.60676,2.83538,0.61174,0.47851,0.53449,0.30277,3.24702,3.64533,3.4029,0.00025375,0.00025375,0.00025375
32,61362.1,2.40615,2.54365,2.81035,0.64371,0.48443,0.53411,0.30379,3.25239,3.52744,3.39652,0.000241375,0.000241375,0.000241375
33,67340,2.39031,2.5103,2.78642,0.63462,0.48827,0.53979,0.30501,3.21432,3.52248,3.34698,0.000229,0.000229,0.000229
34,73312.5,2.3603,2.4567,2.777,0.6875,0.48146,0.55098,0.31027,3.21155,3.42879,3.35995,0.000216625,0.000216625,0.000216625
35,79302,2.34833,2.39829,2.75903,0.69085,0.49322,0.55779,0.3167,3.24871,3.44994,3.37814,0.00020425,0.00020425,0.00020425
36,85327.7,2.319,2.39516,2.74263,0.63462,0.49514,0.54435,0.30763,3.20805,3.33991,3.37879,0.000191875,0.000191875,0.000191875
37,91293,2.29734,2.35409,2.73431,0.62257,0.4857,0.54291,0.30578,3.25148,3.51068,3.38895,0.0001795,0.0001795,0.0001795
38,99829.8,2.27073,2.31156,2.70941,0.69753,0.4852,0.55192,0.31081,3.28141,3.53184,3.4132,0.000167125,0.000167125,0.000167125
39,116466,2.25842,2.26914,2.6879,0.66318,0.48833,0.5474,0.3065,3.21161,3.41869,3.37835,0.00015475,0.00015475,0.00015475
40,127251,2.24096,2.21113,2.67982,0.66175,0.51835,0.55862,0.32032,3.19289,3.36347,3.34787,0.000142375,0.000142375,0.000142375
41,137672,2.12939,1.61612,2.67413,0.65963,0.50729,0.56476,0.32293,3.19863,3.40233,3.33191,0.00013,0.00013,0.00013
42,148458,2.06124,1.48494,2.61889,0.68166,0.49604,0.56326,0.32381,3.18308,3.38361,3.35706,0.000117625,0.000117625,0.000117625
43,159016,2.00364,1.41024,2.57158,0.65533,0.52987,0.57389,0.33185,3.16592,3.34616,3.36356,0.00010525,0.00010525,0.00010525
44,169831,1.96532,1.37291,2.55924,0.65932,0.5345,0.57889,0.33526,3.1487,3.30654,3.35417,9.2875e-05,9.2875e-05,9.2875e-05
45,180490,1.93932,1.35047,2.52446,0.65354,0.53584,0.58046,0.33451,3.16705,3.35209,3.35511,8.05e-05,8.05e-05,8.05e-05
46,191267,1.88481,1.3065,2.49138,0.64363,0.52899,0.57077,0.33587,3.14989,3.38559,3.34861,6.8125e-05,6.8125e-05,6.8125e-05
47,201826,1.85889,1.27203,2.47646,0.65101,0.5313,0.57532,0.33597,3.1685,3.39078,3.37564,5.575e-05,5.575e-05,5.575e-05
48,212274,1.83693,1.24329,2.44875,0.67971,0.52338,0.57803,0.33944,3.17771,3.36824,3.39383,4.3375e-05,4.3375e-05,4.3375e-05
49,222764,1.80898,1.23146,2.44065,0.69473,0.50457,0.57453,0.33454,3.18167,3.39287,3.39844,3.1e-05,3.1e-05,3.1e-05
50,233719,1.78571,1.21765,2.42303,0.68326,0.51692,0.57167,0.33649,3.17662,3.40598,3.40572,1.8625e-05,1.8625e-05,1.8625e-05
